article_a,article_b,hamming,title_a,title_b
155/2020/nd-cp+308,155/2020/nđ-cp+308,0,"Điều 308. Trình tự, thủ tục áp dụng các biện pháp phong tỏa tài khoản chứng khoán, yêu cầu người có thẩm quyền phong tỏa tài khoản tiền có liên quan đến hành vi vi phạm pháp luật về chứng khoán và thị trường chứng khoán","Điều 308. Trình tự, thủ tục áp dụng các biện pháp phong tỏa tài khoản chứng khoán, yêu cầu người có thẩm quyền phong tỏa tài khoản tiền có liên quan đến hành vi vi phạm pháp luật về chứng khoán và thị trường chứng khoán"
155/2020/nd-cp+54,155/2020/nđ-cp+54,0,Điều 54. Hồ sơ công ty đại chúng đăng ký phát hành cổ phiếu để chào mua công khai,Điều 54. Hồ sơ công ty đại chúng đăng ký phát hành cổ phiếu để chào mua công khai
155/2020/nd-cp+99,155/2020/nđ-cp+99,0,"Điều 99. Điều kiện trở thành thành viên giao dịch đặc biệt, Kho bạc Nhà nước tham gia giao dịch công cụ nợ","Điều 99. Điều kiện trở thành thành viên giao dịch đặc biệt, Kho bạc Nhà nước tham gia giao dịch công cụ nợ"
63/2019/nđ-+34,63/2019/nđ-cp+34,0,"Điều 34. Hành vi vi phạm quy định của pháp luật về thực hành tiết kiệm, chống lãng phí trong đầu tư xây dựng các dự án sử dụng ngân sách nhà nước, tiền, tài sản công","Điều 34. Hành vi vi phạm quy định của pháp luật về thực hành tiết kiệm, chống lãng phí trong đầu tư xây dựng các dự án sử dụng ngân sách nhà nước, tiền, tài sản công"
09/2014/ttlt-btp-tandtc-vksndtc+13,09/2014/ttlt-btp-tandtc-vksndtc-btc+13,0,Điều 13. Mức chi phí tống đạt,Điều 13. Mức chi phí tống đạt
155/2020/nd-cp+261,155/2020/nđ-cp+261,0,Điều 261. Hồ sơ cấp Giấy phép thành lập và hoạt động công ty đầu tư chứng khoán riêng lẻ,Điều 261. Hồ sơ cấp Giấy phép thành lập và hoạt động công ty đầu tư chứng khoán riêng lẻ
63/2019/nđ-+1,63/2019/nđ-cp+1,0,Điều 1. Phạm vi điều chỉnh,Điều 1. Phạm vi điều chỉnh
63/2019/nđ-+37,63/2019/nđ-cp+37,0,"Điều 37. Thẩm quyền lập biên bản vi phạm hành chính trong lĩnh vực thực hành tiết kiệm, chống lãng phí","Điều 37. Thẩm quyền lập biên bản vi phạm hành chính trong lĩnh vực thực hành tiết kiệm, chống lãng phí"
84/2019/nđ-+14,84/2019/nđ-cp+14,0,Điều 14. Hồ sơ cấp Giấy chứng nhận đủ điều kiện sản xuất phân bón,Điều 14. Hồ sơ cấp Giấy chứng nhận đủ điều kiện sản xuất phân bón
84/2019/nđ-+20,84/2019/nđ-cp+20,0,"Điều 20. Hồ sơ, trình tự và thẩm quyền cấp Giấy phép nhập khẩu phân bón","Điều 20. Hồ sơ, trình tự và thẩm quyền cấp Giấy phép nhập khẩu phân bón"
91/2019/nd-cp+13,91/2019/nđ-cp+13,0,Điều 13. Chuyển đổi cơ cấu cây trồng trên đất trồng lúa không đúng quy định; sử dụng đất vào mục đích khác thuộc trường hợp phải đăng ký mà không đăng ký theo quy định,Điều 13. Chuyển đổi cơ cấu cây trồng trên đất trồng lúa không đúng quy định; sử dụng đất vào mục đích khác thuộc trường hợp phải đăng ký mà không đăng ký theo quy định
155/2020/nd-cp+82,155/2020/nđ-cp+82,0,Điều 82. Nguyên tắc chào mua công khai,Điều 82. Nguyên tắc chào mua công khai
155/2020/nd-cp+267,155/2020/nđ-cp+267,0,"Điều 267. Trình tự, thủ tục cấp, điều chỉnh Giấy phép thành lập và hoạt động công ty đầu tư chứng khoán","Điều 267. Trình tự, thủ tục cấp, điều chỉnh Giấy phép thành lập và hoạt động công ty đầu tư chứng khoán"
63/2019/nđ-+30,63/2019/nđ-cp+30,0,Điều 30. Thẩm quyền xử phạt của Thanh tra,Điều 30. Thẩm quyền xử phạt của Thanh tra
102/2017/nð-cp+64,102/2017/nđ-cp+64,0,Điều 64. Công bố thông tin về biện pháp bảo đảm,Điều 64. Công bố thông tin về biện pháp bảo đảm
155/2020/nd-cp+182,155/2020/nđ-cp+182,0,"Điều 182. Người đại diện theo pháp luật của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán","Điều 182. Người đại diện theo pháp luật của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán"
102/2017/nð-cp+63,102/2017/nđ-cp+63,0,Điều 63. Trách nhiệm trao đổi thông tin về tình trạng pháp lý của tài sản bảo đảm,Điều 63. Trách nhiệm trao đổi thông tin về tình trạng pháp lý của tài sản bảo đảm
14/2014/tt-byt+12,30/2014/tt-byt+12,0,Điều 12. Điều khoản tham chiếu,Điều 12. Điều khoản tham chiếu
155/2020/nd-cp+105,155/2020/nđ-cp+105,0,Điều 105. Đình chỉ hoạt động giao dịch của thành viên,Điều 105. Đình chỉ hoạt động giao dịch của thành viên
155/2020/nd-cp+293,155/2020/nđ-cp+293,0,"Điều 293. Giao dịch với cổ đông, người quản lý doanh nghiệp và người có liên quan của các đối tượng này","Điều 293. Giao dịch với cổ đông, người quản lý doanh nghiệp và người có liên quan của các đối tượng này"
19/2019/nđ+27,19/2019/nđ-cp+27,0,Điều 27. Điều khoản chuyển tiếp,Điều 27. Điều khoản chuyển tiếp
155/2020/nd-cp+190,155/2020/nđ-cp+190,0,"Điều 190. Điều kiện thành lập, bổ sung nghiệp vụ chi nhánh trong nước của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán","Điều 190. Điều kiện thành lập, bổ sung nghiệp vụ chi nhánh trong nước của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán"
19/2019/nđ+6,19/2019/nđ-cp+6,0,Điều 6. Điều kiện làm chủ họ,Điều 6. Điều kiện làm chủ họ
102/2017/nð-cp+60,102/2017/nđ-cp+60,0,Điều 60. Phương thức yêu cầu cung cấp thông tin về biện pháp bảo đảm,Điều 60. Phương thức yêu cầu cung cấp thông tin về biện pháp bảo đảm
155/2020/nd-cp+290,155/2020/nđ-cp+290,0,Điều 290. Báo cáo hoạt động của Ban kiểm soát tại cuộc họp Đại hội đồng cổ đông thường niên,Điều 290. Báo cáo hoạt động của Ban kiểm soát tại cuộc họp Đại hội đồng cổ đông thường niên
155/2020/nd-cp+37,155/2020/nđ-cp+37,0,Điều 37. Hồ sơ đăng ký chào bán cổ phiếu ra công chúng tại Việt Nam của doanh nghiệp thành lập và hoạt động theo pháp luật nước ngoài,Điều 37. Hồ sơ đăng ký chào bán cổ phiếu ra công chúng tại Việt Nam của doanh nghiệp thành lập và hoạt động theo pháp luật nước ngoài
03/2021/tt-bgddt+3,03/2021/tt-bgdđt+3,0,Điều 3. Giáo viên trung học cơ sở hạng III - Mã số V.07.04.32,Điều 3. Giáo viên trung học cơ sở hạng III - Mã số V.07.04.32
155/2020/nd-cp+151,155/2020/nđ-cp+151,0,"Điều 151. Điều kiện cung cấp dịch vụ bù trừ, thanh toán giao dịch chứng khoán","Điều 151. Điều kiện cung cấp dịch vụ bù trừ, thanh toán giao dịch chứng khoán"
01/2018/tt-byt+39,44/2014/tt-byt+39,0,Điều 39. Điều khoản tham chiếu,Điều 39. Điều khoản tham chiếu
155/2020/nd-cp+241,155/2020/nđ-cp+241,0,"Điều 241. Điều kiện, hồ sơ đăng ký chào bán lần đầu chứng chỉ quỹ mở ra công chúng","Điều 241. Điều kiện, hồ sơ đăng ký chào bán lần đầu chứng chỉ quỹ mở ra công chúng"
05/2017/tt-bxd+2,20/2019/tt-bxd+2,0,Điều 2. Đối tượng áp dụng,Điều 2. Đối tượng áp dụng
09/2014/ttlt-btp-tandtc-vksndtc+20,09/2014/ttlt-btp-tandtc-vksndtc-btc+20,0,"Điều 20. Việc giải thể, chấm dứt hoạt động của Văn phòng Thừa phát lại","Điều 20. Việc giải thể, chấm dứt hoạt động của Văn phòng Thừa phát lại"
102/2017/nð-cp+5,102/2017/nđ-cp+5,0,Điều 5. Thời điểm có hiệu lực của đăng ký biện pháp bảo đảm,Điều 5. Thời điểm có hiệu lực của đăng ký biện pháp bảo đảm
155/2020/nd-cp+49,155/2020/nđ-cp+49,0,"Điều 49. Điều kiện công ty đại chúng phát hành cổ phiếu để hoán đổi cổ phần cho cổ đông công ty cổ phần chưa đại chúng, hoán đổi phần vốn góp cho thành viên góp vốn của công ty trách nhiệm hữu hạn","Điều 49. Điều kiện công ty đại chúng phát hành cổ phiếu để hoán đổi cổ phần cho cổ đông công ty cổ phần chưa đại chúng, hoán đổi phần vốn góp cho thành viên góp vốn của công ty trách nhiệm hữu hạn"
63/2019/nđ-+28,63/2019/nđ-cp+28,0,"Điều 28. Thẩm quyền lập biên bản vi phạm hành chính trong lĩnh vực quản lý, sử dụng tài sản công","Điều 28. Thẩm quyền lập biên bản vi phạm hành chính trong lĩnh vực quản lý, sử dụng tài sản công"
102/2017/nð-cp+33,102/2017/nđ-cp+33,0,Điều 33. Hồ sơ đăng ký bảo lưu quyền sở hữu tàu biển trong trường hợp mua bán tàu biển có bảo lưu quyền sở hữu,Điều 33. Hồ sơ đăng ký bảo lưu quyền sở hữu tàu biển trong trường hợp mua bán tàu biển có bảo lưu quyền sở hữu
91/2019/nd-cp+43,91/2019/nđ-cp+43,0,Điều 43. Hiệu lực thi hành,Điều 43. Hiệu lực thi hành
155/2020/nd-cp+177,155/2020/nđ-cp+177,0,"Điều 177. Hồ sơ đề nghị cấp Giấy phép thành lập và hoạt động kinh doanh chứng khoán của chi nhánh công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam","Điều 177. Hồ sơ đề nghị cấp Giấy phép thành lập và hoạt động kinh doanh chứng khoán của chi nhánh công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam"
145/2017/tt-bqp+6,79/2019/tt-bqp+6,0,Điều 6. Điều khoản tham chiếu,Điều 6. Điều khoản tham chiếu
146/2018/nð-cp+10,146/2018/nđ-cp+10,0,"Điều 10. Xác định số tiền đóng, hỗ trợ đối với một số đối tượng khi nhà nước điều chỉnh mức đóng bảo hiểm y tế, điều chỉnh mức lương cơ sở","Điều 10. Xác định số tiền đóng, hỗ trợ đối với một số đối tượng khi nhà nước điều chỉnh mức đóng bảo hiểm y tế, điều chỉnh mức lương cơ sở"
155/2020/nd-cp+5,155/2020/nđ-cp+5,0,Điều 5. Tài liệu xác định nhà đầu tư chứng khoán chuyên nghiệp,Điều 5. Tài liệu xác định nhà đầu tư chứng khoán chuyên nghiệp
155/2020/nd-cp+146,155/2020/nđ-cp+146,0,Điều 146. Đăng ký mã số giao dịch chứng khoán,Điều 146. Đăng ký mã số giao dịch chứng khoán
102/2017/nð-cp+68,102/2017/nđ-cp+68,0,Điều 68. Hiệu lực thi hành,Điều 68. Hiệu lực thi hành
19/2019/nđ+13,19/2019/nđ-cp+13,0,Điều 13. Giấy biên nhận,Điều 13. Giấy biên nhận
155/2020/nd-cp+157,155/2020/nđ-cp+157,0,"Điều 157. Quyền và nghĩa vụ của thành viên bù trừ đối với việc cung cấp dịch vụ bù trừ, thanh toán giao dịch chứng khoán","Điều 157. Quyền và nghĩa vụ của thành viên bù trừ đối với việc cung cấp dịch vụ bù trừ, thanh toán giao dịch chứng khoán"
155/2020/nd-cp+282,155/2020/nđ-cp+282,0,Điều 282. Thành phần Ủy ban kiểm toán,Điều 282. Thành phần Ủy ban kiểm toán
09/2014/ttlt-btp-tandtc-vksndtc+22,09/2014/ttlt-btp-tandtc-vksndtc-btc+22,0,"Điều 22. Quyền kháng nghị, kiến nghị, yêu cầu của Viện Kiểm sát nhân dân","Điều 22. Quyền kháng nghị, kiến nghị, yêu cầu của Viện Kiểm sát nhân dân"
91/2019/nd-cp+32,91/2019/nđ-cp+32,0,"Điều 32. Không sử dụng đất trồng cây hàng năm trong thời hạn 12 tháng liên tục, đất trồng cây lâu năm trong thời hạn 18 tháng liên tục, đất trồng rừng trong thời hạn 24 tháng liên tục","Điều 32. Không sử dụng đất trồng cây hàng năm trong thời hạn 12 tháng liên tục, đất trồng cây lâu năm trong thời hạn 18 tháng liên tục, đất trồng rừng trong thời hạn 24 tháng liên tục"
91/2019/nd-cp+9,91/2019/nđ-cp+9,0,Điều 9. Sử dụng đất trồng lúa vào mục đích khác không được cơ quan nhà nước có thẩm quyền cho phép theo quy định tại các điểm a và d khoản 1 Điều 57 của Luật đất đai,Điều 9. Sử dụng đất trồng lúa vào mục đích khác không được cơ quan nhà nước có thẩm quyền cho phép theo quy định tại các điểm a và d khoản 1 Điều 57 của Luật đất đai
91/2019/nd-cp+10,91/2019/nđ-cp+10,0,"Điều 10. Sử dụng đất rừng đặc dụng, đất rừng phòng hộ, đất rừng sản xuất vào mục đích khác không được cơ quan nhà nước có thẩm quyền cho phép theo quy định tại các điểm c và d khoản 1 Điều 57 của Luật đất đai","Điều 10. Sử dụng đất rừng đặc dụng, đất rừng phòng hộ, đất rừng sản xuất vào mục đích khác không được cơ quan nhà nước có thẩm quyền cho phép theo quy định tại các điểm c và d khoản 1 Điều 57 của Luật đất đai"
91/2019/nd-cp+30,91/2019/nđ-cp+30,0,"Điều 30. Nhận chuyển quyền sử dụng đất, thuê đất không đúng quy định tại các Điều 153 và Điều 169 của Luật đất đai và Điều 39 của Nghị định số 43/2014/NĐ-CP","Điều 30. Nhận chuyển quyền sử dụng đất, thuê đất không đúng quy định tại các Điều 153 và Điều 169 của Luật đất đai và Điều 39 của Nghị định số 43/2014/NĐ-CP"
09/2017/qh14+2,168/2017/nđ-cp+2,0,Điều 2. Đối tượng áp dụng,Điều 2. Đối tượng áp dụng
155/2020/nd-cp+80,155/2020/nđ-cp+80,0,Điều 80. Tỷ lệ sở hữu,Điều 80. Tỷ lệ sở hữu
155/2020/nd-cp+260,155/2020/nđ-cp+260,0,Điều 260. Hồ sơ cấp giấy phép thành lập và hoạt động của công ty đầu tư chứng khoán đại chúng,Điều 260. Hồ sơ cấp giấy phép thành lập và hoạt động của công ty đầu tư chứng khoán đại chúng
155/2020/nd-cp+289,155/2020/nđ-cp+289,0,Điều 289. Cuộc họp của Ban kiểm soát,Điều 289. Cuộc họp của Ban kiểm soát
84/2019/nđ-+16,84/2019/nđ-cp+16,0,"Điều 16. Hồ sơ cấp lại Giấy chứng nhận đủ điều kiện sản xuất phân bón, Giấy chứng nhận đủ điều kiện buôn bán phân bón","Điều 16. Hồ sơ cấp lại Giấy chứng nhận đủ điều kiện sản xuất phân bón, Giấy chứng nhận đủ điều kiện buôn bán phân bón"
102/2017/nð-cp+1,102/2017/nđ-cp+1,0,Điều 1. Phạm vi điều chỉnh,Điều 1. Phạm vi điều chỉnh
19/2019/nđ+18,19/2019/nđ-cp+18,0,Điều 18. Nghĩa vụ của chủ họ,Điều 18. Nghĩa vụ của chủ họ
155/2020/nd-cp+262,155/2020/nđ-cp+262,0,"Điều 262. Điều kiện tăng, giảm vốn điều lệ công ty đầu tư chứng khoán","Điều 262. Điều kiện tăng, giảm vốn điều lệ công ty đầu tư chứng khoán"
155/2020/nd-cp+292,155/2020/nđ-cp+292,0,Điều 292. Giao dịch với người có liên quan,Điều 292. Giao dịch với người có liên quan
155/2020/nd-cp+306,155/2020/nđ-cp+306,0,"Điều 306. Các biện pháp phòng ngừa, ngăn chặn vi phạm pháp luật về chứng khoán và thị trường chứng khoán","Điều 306. Các biện pháp phòng ngừa, ngăn chặn vi phạm pháp luật về chứng khoán và thị trường chứng khoán"
220/2013/nđ-cp+12,28/2019/nđ-cp+12,0,Điều 12. Thẩm quyền giải quyết tố cáo trong quản lý nhà nước về quốc phòng,Điều 12. Thẩm quyền giải quyết tố cáo trong quản lý nhà nước về quốc phòng
09/2014/ttlt-btp-tandtc-vksndtc+5,09/2014/ttlt-btp-tandtc-vksndtc-btc+5,0,Điều 5. Giao nhận văn bản tống đạt,Điều 5. Giao nhận văn bản tống đạt
09/2014/ttlt-btp-tandtc-vksndtc+16,09/2014/ttlt-btp-tandtc-vksndtc-btc+16,0,Điều 16. Chi phí lập vi bằng và xác minh điều kiện thi hành án,Điều 16. Chi phí lập vi bằng và xác minh điều kiện thi hành án
136/2013/tt-btc+9,36/2019/tt-btc+9,0,Điều 9. Phương thức phân phối vé xổ số tự chọn số điện toán,Điều 9. Phương thức phân phối vé xổ số tự chọn số điện toán
155/2020/nd-cp+164,155/2020/nđ-cp+164,0,"Điều 164. Đình chỉ hoạt động bù trừ, thanh toán giao dịch chứng khoán đối với thành viên bù trừ của Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam","Điều 164. Đình chỉ hoạt động bù trừ, thanh toán giao dịch chứng khoán đối với thành viên bù trừ của Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam"
19/2019/nđ+2,19/2019/nđ-cp+2,0,Điều 2. Đối tượng áp dụng,Điều 2. Đối tượng áp dụng
